****** Levels
 1.96759297E+15      9.    1  'si1  3Pe 1'  0   0.  0
 1.78314855E+15      5.    1  'si1  1De 1'  0   0.  0
 1.51033384E+15      1.    1  'si1  1Se 1'  0   0.  0
 9.72478038E+14      5.    2  'si1  5So 1'  0   0.  0
 6.13224492E+14     15.    2  'si1  3Do 1'  0   0.  0
 5.53811135E+14      3.    2  'si1  1Pe 1'  0   0.  0
 5.51787904E+14      5.    2  'si1  1Do 1'  0   0.  0
 5.27496173E+14     15.    2  'si1  3De 1'  0   0.  0
 3.78988317E+14    138.    3  'si1 +3_o 4'  0   0.  0
 3.33480756E+14    129.    3  'si1 +3_e 3'  0   0.  0
 3.29302390E+14     44.    3  'si1 +1_e 1'  0   0.  0
 3.08954916E+14     36.    3  'si1 +1_o 2'  0   0.  0
 7.25157077E+13    340.    7  'si1 +1_o 6'  0   0.  0
 7.17554566E+13   1005.    7  'si1 +3_o 8'  0   0.  0
 6.81358100E+13    349.    7  'si1 +1_e 5'  0   0.  0
 6.79956321E+13   1044.    7  'si1 +3_e 7'  0   0.  0
****** Continuum transitions
   1  17   1    127      0      0      0   6.890E-18   0.000E+00
   0.002   0.049   0.122   0.128   0.133   0.138   0.140   0.143   0.146   0.148
   0.152   0.168   0.171   0.173   0.174   0.176   0.179   0.184   0.186   0.187
   0.187   0.188   0.192   0.218   0.350   0.365   1.036
   1.834   1.752   1.400   1.333   1.190   0.676   0.626   1.347   1.395   1.579
   1.486   1.269   1.080   0.528   1.269   1.493   1.362   1.245   1.065   0.587
   1.116   1.410   1.297   1.123   0.434   0.179  -1.814
   2  17   1    107      0      0      0   3.492E-18   0.000E+00
  -0.000   0.058   0.117   0.205   0.218   0.393   1.059
   1.543   1.647   1.983   1.215   1.336   0.353  -1.655
   3  17   1    120      0      0      0   2.500E-18   0.000E+00
   0.006   0.056   0.090   0.102   0.135   0.152   0.192   0.243   0.250   0.252
   0.253   0.254   0.256   0.258   0.269   0.276   0.281   0.430   0.438   1.110
   1.362   1.086   0.612   0.198   1.733   2.112   1.776   1.523   1.528   1.654
   2.957   1.670   1.482   1.453   1.410   1.387   1.395   0.588   0.520  -1.509
   4  17   1    104      0      0      0   6.906E-17   0.000E+00
   0.349   0.486   0.567   1.051
   1.731   1.297   0.919  -0.514
   5  17   1    119      0      0      0   1.509E-18   0.000E+00
   0.005   0.152   0.227   0.251   0.272   0.278   0.323   0.353   0.366   0.371
   0.380   0.457   0.464   0.486   0.508   0.513   0.598   0.710   1.396
   1.172   0.997   0.934   1.040   1.472   0.955   0.707   0.890   2.456   1.005
   0.451   0.618   1.664   1.506   0.873   1.576   1.752   1.110  -0.917
   6  17   1    112      0      0      0   1.269E-18   0.000E+00
  -0.000   0.208   0.296   0.352   0.464   0.488   0.601   0.619   0.641   0.673
   0.745   1.423
   1.103   0.457   0.647   0.698   0.509   0.388   0.983   2.569   1.078   1.897
   0.965  -1.112
   7  17   1    114      0      0      0   3.452E-18   0.000E+00
   0.005   0.336   0.376   0.400   0.414   0.438   0.504   0.510   0.552   0.554
   0.664   0.732   0.771   1.423
   1.528   0.876   0.824   0.959   1.476   0.793  -0.272   2.717  -0.231   1.633
   1.959   1.117   0.907  -1.038
   8  17   1    127      0      0      0   1.795E-18   0.000E+00
  -0.003   0.115   0.246   0.379   0.390   0.438   0.450   0.455   0.479   0.513
   0.523   0.529   0.540   0.554   0.609   0.621   0.631   0.640   0.644   0.666
   0.678   0.684   0.694   0.735   0.754   0.776   1.441
   1.259   1.060   0.690   0.164   0.284   0.147  -0.011   0.280  -0.095   0.407
   0.981   2.246   0.026  -0.337   0.709   1.387   2.681   1.465   2.324   1.284
   1.762   2.790   1.284   0.552   1.127   0.939  -1.060
   9  17   1    141      0      0      0   3.112E-20   0.000E+00
  -0.379  -0.327  -0.316  -0.291  -0.265  -0.181  -0.174  -0.141  -0.132  -0.053
  -0.044   0.073   0.097   0.245   0.269   0.439   0.458   0.510   0.527   0.540
   0.554   0.557   0.575   0.590   0.609   0.628   0.655   0.678   0.685   0.698
   0.713   0.725   0.745   0.764   0.771   0.786   0.821   0.839   0.855   0.910
   1.582
  -0.649  -0.684  -0.703  -0.705  -0.408  -0.614  -0.324  -0.390  -0.348  -0.476
  -0.420  -0.651  -0.151  -0.432  -0.443  -0.818  -0.795  -0.981  -0.411  -0.952
  -1.117  -0.906  -0.958  -0.667  -0.754  -0.644   0.135  -0.545  -0.627  -0.057
